OrderNumber,Invoice,PostDate,OrderType,OrderNumber,ItemNumber,ProductID,Qty
273,-3,1/15/2017 0:00,3,273,0,310,-1
274,-3,1/15/2017 0:00,4,274,0,310,1
547,5478964,12/31/2016 0:00,2,547,0,454,1
1437,-3,12/1/2016 0:00,3,1437,0,460,-0.25
1438,-3,12/1/2016 0:00,4,1438,0,460,0.25
2194,47708,2/21/2017 0:00,2,2194,0,434,77
2758,66965,1/27/2017 0:00,1,2758,1,434,60
4051,-3,12/31/2016 0:00,3,4051,0,467,-1.2
4052,-3,12/31/2016 0:00,4,4052,0,467,1.2
4088,2390,1/26/2017 0:00,1,4088,1,434,31
5372,-3,2/7/2017 0:00,3,5372,0,80,-1
5372,-3,2/7/2017 0:00,3,5372,0,651,-1
5373,-3,2/7/2017 0:00,4,5373,0,80,1
5373,-3,2/7/2017 0:00,4,5373,0,651,1
5569,-3,2/6/2017 0:00,3,5569,0,463,-0.5
5570,-3,2/6/2017 0:00,4,5570,0,463,0.5
5806,1232,1/6/2017 0:00,1,5806,19,111,20
5806,1232,1/6/2017 0:00,1,5806,23,935,6
6655,400393,12/6/2016 0:00,1,6655,1,689,1
6655,400393,12/6/2016 0:00,1,6655,5,334,2
6655,400393,12/6/2016 0:00,1,6655,11,496,3
6655,400393,12/6/2016 0:00,1,6655,17,495,1
6655,400393,12/6/2016 0:00,1,6655,41,799,1
6655,400393,12/6/2016 0:00,1,6655,46,809,1
6655,400393,12/6/2016 0:00,1,6655,61,828,1
6774,7465701,12/22/2016 0:00,1,6774,1,905,1
6836,7416918,12/3/2016 0:00,1,6836,5,689,2
6836,7416918,12/3/2016 0:00,1,6836,13,945,1
6836,7416918,12/3/2016 0:00,1,6836,14,905,1
6836,7416918,12/3/2016 0:00,1,6836,18,689,3
6854,81146162,12/8/2016 0:00,1,6854,11,505,1
6854,81146162,12/8/2016 0:00,1,6854,14,689,1
6854,81146162,12/8/2016 0:00,1,6854,15,445,2
6854,81146162,12/8/2016 0:00,1,6854,18,899,1
6854,81146162,12/8/2016 0:00,1,6854,19,504,3
6854,81146162,12/8/2016 0:00,1,6854,23,689,2
6866,7439968,12/11/2016 0:00,1,6866,1,905,1
6866,7439968,12/11/2016 0:00,1,6866,3,907,1
6866,7439968,12/11/2016 0:00,1,6866,4,908,1
6866,7439968,12/11/2016 0:00,1,6866,5,689,1
6866,7439968,12/11/2016 0:00,1,6866,18,689,1
6891,890388309,12/2/2016 0:00,1,6891,15,421,1
6891,890388309,12/2/2016 0:00,1,6891,24,689,-1
6927,912867,12/3/2016 0:00,1,6927,5,531,1
6967,2004686,12/1/2016 0:00,1,6967,1,689,1
6967,2004686,12/1/2016 0:00,1,6967,27,421,1
6967,2004686,12/1/2016 0:00,1,6967,58,689,1
6999,-3,12/18/2016 0:00,3,6999,0,525,-1
7000,-3,12/18/2016 0:00,4,7000,0,525,1
7111,-3,12/11/2016 0:00,3,7111,0,325,-1
