InventoryID,ProductID,BeginQty,RecQty,EndQty,ActualQty,IdealQty,VarianceQty,PricePerQty,RecMeasureID
388,85,2783.92,0,3367.296,-583.376,0,-583.376,0.39,8
388,265,NULL,0,1152,NULL,0,NULL,0.08,7
388,331,NULL,0,3331.072,NULL,0,NULL,0.03,7
388,399,13248,0,9216,4032,0,4032,0.04,8
388,433,663.648,0,645.104,18.544,0,18.544,0.48,8
388,458,5337.856,0,3162.064,2175.792,0,2175.792,0.1,8
388,459,4912,0,4208,704,0,704,0.14,8
388,520,NULL,0,56,NULL,0,NULL,4.22,4
388,525,NULL,0,208,NULL,0,NULL,0.62,4
388,526,656.992,0,531.008,125.984,0,125.984,1.53,4
389,85,NULL,1600,1648,NULL,364.35,NULL,0.39,8
389,459,NULL,2000,2944,NULL,836,NULL,0.14,8
389,522,NULL,320,592,NULL,48,NULL,0.36,8
389,526,NULL,384,424.992,NULL,109,NULL,1.53,4
389,912,NULL,0,82.42,NULL,7,NULL,0.31,7
390,85,972.544,0,525.28,447.264,322.94,124.324,0.35,8
390,399,9792,0,5184,4608,3469.55,1138.45,0.04,8
390,458,2528.752,0,1494.896,1033.856,873.65,160.206,0.11,8
390,459,3232,0,3076,156,860,-704,0.14,8
390,520,39,0,42,-3,4,-7,4.22,4
390,524,48.792,0,62.244,-13.452,12,-25.452,2.25,4
392,85,1203.504,0,1129.424,74.08,269.01,-194.93,0.39,8
392,330,123,0,166,-43,3,-46,0.93,4
392,331,1664,0,1248,416,173.63,242.37,0.03,7
392,334,102,0,144,-42,10,-52,1.07,4
392,368,82.845,0,76.928,5.917,0,5.917,0.66,7
392,393,27.051,0,27.051,0,1.75,-1.75,1.04,7
392,422,96,0,139,-43,2,-45,1.28,4
392,441,97,0,138,-41,6,-47,1.28,4
392,459,3160,0,2960,200,352,-152,0.14,8
392,481,4928,0,4160,768,246.91,521.09,0.03,7
392,496,100,0,126,-26,1,-27,0.93,4
393,265,1792,1152,2304,640,140,500,0.08,7
393,399,13248,11520,14976,9792,3617.68,6174.32,0.04,8
393,458,3002.864,5120,5767.28,2355.584,884.08,1471.504,0.1,8
393,459,3440,2400,3920,1920,996,924,0.14,8
394,85,1385.088,0,684.528,700.56,0,700.56,0.39,8
394,459,2080,0,992,1088,0,1088,0.14,8
394,522,512,0,240,272,0,272,0.36,8
394,526,336,0,168.992,167.008,0,167.008,1.53,4
