Maraschino,Lemon,Aqua
Hot,Tgt,Rollcall
ROZ,Target,New track
WEZ,New tgt,Track
Cleared,New target,Posit
Clrd,Next target,New track
9line,Next tgt,Transit
9-line,Grid,Onsta
Nine line,Grg,On-sta
Rifle,Building,On sta
Release,Bldg,Remaining
Wpn away,Compound,Off-tgt
Wpns away,Cmpd,Off tgt
Wpn-away,8line,Off target
Weapon-away,8-line,On-tgt
Impact,Eight line,On tgt
Splash,Eight-line,On target
TOF,Sdby,Eyes on
Time-of-flight,Stdby,Eyes-on
Time of flight,Friendlies,RTB
Abort,BF,Rolex
Shift,IED,Slip
Engage,Wpn,Bent
Engagement,Weapon,Sour
Launch,ISARC,Broke
Survivor,Condition,Early
Isolated person,Authentication,FF
Jack,Feet,Mx
Unlucky,Fence,Wx
Rescue,Refuel,JPRC
Recovery,Texaco,RCC
SAM,Tanker,PRCC
Mud,RV,
SA,Helo,
Bandit,Helicopter,
Bogie,ARCT,
Spike,TOT,
Shootdown,Bingo,
15-line,Joker,
15 line,,
PJ,,
Threat,,
Popcorn,,
Gun,,
Missile,,
Execute,,
Egress,,
Recall,,
